plant_name,plant_code,latitude,longitude,ac_capacity,dc_capacity,dc_loss_factor,temperature_coefficient,tracking,tracking_type,fixed_tilt,fixed_azimuth,axis_tilt,axis_azimuth,backtrack,max_rotation_angle,ground_coverage_ratio,Crystalline Silicon?,Thin-Film (CdTe)?,Operating_Month,Operating_Year
Simon Solar Farm LLC,58628,33.678056,-83.675833,30,38.6,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,11,2013
Fort Benning Solar Facility,59862,32.352369,-84.968819,30,41.5,0.15,-0.35,,fixed,20,195,NaN,NaN,NaN,NaN,0.5,Y,,12,2015
Fort Gordon Solar Facility,59863,33.386625,-82.140117,30,42.5,0.15,-0.35,,fixed,20,195,NaN,NaN,NaN,NaN,0.5,Y,,10,2016
Kings Bay Solar Facility,59864,30.827627,-81.556238,30,41.5,0.15,-0.35,,fixed,16,195,NaN,NaN,NaN,NaN,0.5,Y,,12,2016
Fort Stewart Solar Facility,59865,31.90474,-81.595373,30,43.5,0.15,-0.35,,fixed,20,195,NaN,NaN,NaN,NaN,0.5,Y,,10,2016
Baxley,64211,31.877717,-82.333892,25,37,0.15,-0.35,Y,single_axis, ,0,0,180,True,60,0.35,Y,N,12,2020
Hattiesburg Solar Farm,60552,31.275828,-89.301156,50,67.5,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,10,2017
Butler Solar Farm 20,59891,32.575542,-84.316547,22,29,0.15,-0.25,N,fixed,25,197.2,NaN,NaN,NaN,NaN,0.5,,Y,2,2016
LaFayette Solar Farm,60583,32.876313,-85.38821,79.2,116.9,0.15,-0.35,Y,single_axis, ,180,0,180,True,60,0.35,Y,,12,2017
Decatur County Solar Project,59449,30.965,-84.626111,20,27,0.15,-0.35,Y,single_axis, ,90,0,180,True,60,0.35,Y,,12,2015
SR Hazlehurst,59535,31.810278,-82.575,20,27.4,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,11,2015
Fort Rucker Solar Array,60679,31.331148,-85.73019,10.6,12.7,0.15,-0.25,,fixed,20,188,NaN,NaN,NaN,NaN,0.5,,Y,4,2017
ANAD Solar Array,60680,33.626728,-85.969481,7.4,9.7,0.15,-0.25,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,,Y,7,2017
SR Arlington I,62436,31.402919,-84.836814,20,29,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2021
SR Odom,63814,31.06987,-83.596183,20,30,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,11,2020
Gulfport Naval Base CSG PV System,61208,30.379866,-89.119233,3.5,4.2,0.15,-0.35,Y,single_axis,15,135,0,180,True,60,0.35,Y,,5,2017
Old Midville Solar,60741,32.820676,-81.98176,19.7,28.2,0.15,-0.35,Y,single_axis,0,0,0,180,True,60,0.35,Y,,11,2016
Rincon Solar I,60702,32.292879,-81.284401,18.4,21.2,0.15,-0.35,Y,single_axis,0,90,0,180,True,60,0.35,Y,,12,2016
Solar Glynn,60469,31.25,-81.433,18,23,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,12,2016
Camilla Solar Plant,58892,31.183889,-84.131944,16,20.3,0.15,-0.35,,fixed,30,180,NaN,NaN,NaN,NaN,0.5,Y,,11,2013
Fort Valley State University Solar,63062,32.501558,-83.883386,10.8,15.1,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,1,2022
"Azalea Solar, LLC",58482,32.980833,-82.591667,7.7,9.7,0.15,-0.35,,fixed,20,180,NaN,NaN,NaN,NaN,0.5,Y,,12,2013
Dalton 2,59556,34.718056,-84.931944,6.5,7.1,0.15,-0.35,,fixed,22,180,NaN,NaN,NaN,NaN,0.5,Y,N,12,2014
